PROC_ID	MYC_TKT_OVR_RULE_ID
91	
133	
147	
678	
684	
828	
7080	
7084	
10226	
13199	
19722	
19732	
20302	
22128	
23660	
23662	
23868	
23870	
33694	
33774	
33946	
34691	
34693	
35289	
42500	
64768	
71168	
79022	
87356	
96431	
99974	
104664	
107741	
127252	
